provenance,setting,domain,input_group,y0_quality,seed_quality,p2e_quality,blinded_outcome,seed_major_regression,p2e_major_regression
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0000,0.30648458038953097,0.8566801406907486,-0.4784583030102766,Seed wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0001,0.03831752883795108,0.06885579456213209,0.7112320425502825,P2E wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0002,-0.9077945663896824,-0.7314689562624068,-1.536428139903852,Seed wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0003,-0.7206996769070534,-0.6204698868180671,-0.017414458364141072,P2E wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0004,-1.3320817938930607,-0.48867736787980265,-0.6135569316407143,Tie,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0005,2.2149739567504865,2.521574066132194,2.3924542704747553,Tie,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0006,-0.2340753534249431,0.3891657642443546,0.34441881368313454,Tie,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0007,1.4640685261563338,2.2610606816127743,1.3308682032909627,Seed wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0008,-0.3183736581983527,0.7298388039826147,0.7036574529896943,Tie,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0009,-0.6764372694077637,-0.10524734922196405,0.5880561727162963,P2E wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0010,1.9305229201111969,1.9358513142371958,2.321025706147568,P2E wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0011,-0.7130832698579671,-0.20983117178928012,-0.056624309801650376,P2E wins,0,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0012,1.0726918008888622,-0.2292022161171159,1.273439554915923,P2E wins,1,0
SIMULATED,Reuse,TD-SV4,SIM-C2-0-0013,0.30714903165535795,0.6111970524507506,0.22640582186433086,Seed wins,0,0
