provenance,domain,method,x_inches,zero_inches,full_scale_height_inches,mean_inches,lower_inches,upper_inches
SIMULATED,TD-SV1,Static judge,0.44249999999999995,0.41,0.55,0.7826190476071428,0.762976190713393,0.8022619046071429
SIMULATED,TD-SV1,Static tools,0.4724999999999999,0.41,0.55,0.7975,0.7784523810330357,0.8153571428214286
SIMULATED,TD-SV1,Prompt optimization,0.5025,0.41,0.55,0.7957142856071429,0.7760714286776785,0.8141666664651788
SIMULATED,TD-SV1,Program search,0.5325,0.41,0.55,0.8129761904285715,0.7945238095357143,0.8314285712142857
SIMULATED,TD-SV1,ERA,0.5625,0.41,0.55,0.8046428570714286,0.7873809526410713,0.8224999998955358
SIMULATED,TD-SV2,Static judge,0.6475,0.41,0.55,0.7690764329808917,0.7486411887961784,0.7889278128616242
SIMULATED,TD-SV2,Static tools,0.6775,0.41,0.55,0.789511677200637,0.769660297355812,0.8081953288535033
SIMULATED,TD-SV2,Prompt optimization,0.7075,0.41,0.55,0.7813375796178343,0.7632377920955413,0.7994373672802548
SIMULATED,TD-SV2,Program search,0.7375,0.41,0.55,0.7982696389490447,0.7778343948335191,0.8163694266464969
SIMULATED,TD-SV2,ERA,0.7675000000000001,0.41,0.55,0.8128662418280255,0.7941825900683122,0.830966029455414
SIMULATED,TD-SV3,Static judge,0.8525,0.41,0.55,0.8043396223993711,0.783584905622327,0.8239412995597484
SIMULATED,TD-SV3,Static tools,0.8825,0.41,0.55,0.8170230604622641,0.8002895698140723,0.8325890980268869
SIMULATED,TD-SV3,Prompt optimization,0.9125,0.41,0.55,0.8227882597735849,0.8049161424282233,0.8400838572241353
SIMULATED,TD-SV3,Program search,0.9425,0.41,0.55,0.8170230609119495,0.8003039834565251,0.832589098579481
SIMULATED,TD-SV3,ERA,0.9724999999999999,0.41,0.55,0.8291299788050315,0.8124109012475629,0.8452725363319182
SIMULATED,TD-SV4,Static judge,1.0574999999999997,0.41,0.55,0.789847494745098,0.7694771245424836,0.8078363289829248
SIMULATED,TD-SV4,Static tools,1.0874999999999997,0.41,0.55,0.8102178646601308,0.7916299014413399,0.8287908493523694
SIMULATED,TD-SV4,Prompt optimization,1.1174999999999997,0.41,0.55,0.8042265793169934,0.7850544661443628,0.8222004353113563
SIMULATED,TD-SV4,Program search,1.1474999999999997,0.41,0.55,0.804226579388889,0.7856535948413399,0.8227995640074347
SIMULATED,TD-SV4,ERA,1.1774999999999998,0.41,0.55,0.847962962627451,0.8299891067741829,0.8647385616610295
SIMULATED,TD-SV5,Static judge,1.2624999999999997,0.41,0.55,0.7789583332531251,0.7640625000309376,0.7949999997619532
SIMULATED,TD-SV5,Static tools,1.2924999999999998,0.41,0.55,0.800729166609375,0.7835416666428906,0.8179166663352344
SIMULATED,TD-SV5,Prompt optimization,1.3224999999999998,0.41,0.55,0.8098958330124999,0.7921354165707031,0.8276562495213281
