domain,method,x_inches,zero_inches,mean_inches,lower_inches,upper_inches,full_scale_height_inches
TD-SV1,Static judge,0.44059,0.41,0.7867655367076272,0.7634410306543433,0.8077401129356991,0.55
TD-SV1,Static tools,0.47154499999999994,0.41,0.7943837535168068,0.7743557422815126,0.8136607144509453,0.55
TD-SV1,Prompt optimization,0.5025,0.41,0.7913025209621849,0.7681932776298319,0.812871148292227,0.55
TD-SV1,Program search,0.5334549999999999,0.41,0.8148611111874999,0.794236111139375,0.8362500000916667,0.55
TD-SV1,ERA,0.56441,0.41,0.8059383752268907,0.787450980360189,0.8252153361517858,0.55
TD-SV2,Static judge,0.64559,0.41,0.7758963583739495,0.7519975486610294,0.799775910029832,0.55
TD-SV2,Static tools,0.6765450000000001,0.41,0.7843055554791667,0.7606250000446875,0.8072222222386458,0.55
TD-SV2,Prompt optimization,0.7075,0.41,0.7812885153907563,0.7612605041069329,0.8013165263048319,0.55
TD-SV2,Program search,0.738455,0.41,0.7997759103487396,0.777436974972479,0.8213445377226891,0.55
TD-SV2,ERA,0.76941,0.41,0.8156249999541667,0.792689236070625,0.8385416663973959,0.55
TD-SV3,Static judge,0.85059,0.41,0.8097899156428572,0.7858911061078782,0.8313778008519959,0.55
TD-SV3,Static tools,0.881545,0.41,0.8118055553416668,0.7934722220530208,0.8293749997708333,0.55
TD-SV3,Prompt optimization,0.9125,0.41,0.8217361109583333,0.801855902735,0.8423611108666667,0.55
TD-SV3,Program search,0.9434549999999999,0.41,0.8148611111875,0.7965277780363542,0.8339583330617709,0.55
TD-SV3,ERA,0.97441,0.41,0.8202083332416668,0.799583333239375,0.8400694443375001,0.55
TD-SV4,Static judge,1.0555899999999998,0.41,0.7805182075756302,0.7597006303688025,0.8036274511379201,0.55
TD-SV4,Static tools,1.0865449999999996,0.41,0.8064583331041667,0.7858333330571876,0.8263194442011459,0.55
TD-SV4,Prompt optimization,1.1174999999999997,0.41,0.7962535610811966,0.7735327634677351,0.8189939456331197,0.55
TD-SV4,Program search,1.1484549999999998,0.41,0.7991949150677966,0.7774435027149365,0.8193926551652542,0.55
TD-SV4,ERA,1.1794099999999996,0.41,0.8513865543445378,0.8344397755240547,0.8691036410725841,0.55
TD-SV5,Static judge,1.2605899999999999,0.41,0.7736111110041666,0.756041666575,0.7911805554791667,0.55
TD-SV5,Static tools,1.2915449999999997,0.41,0.7995833333791666,0.7797222224655208,0.8209913195494791,0.55
TD-SV5,Prompt optimization,1.3224999999999998,0.41,0.8034027773958334,0.7820138885821876,0.8232638882647918,0.55
TD-SV5,Program search,1.3534549999999999,0.41,0.8064583331958334,0.7835416665257291,0.8286111108208334,0.55
TD-SV5,ERA,1.3844099999999997,0.41,0.8171527775791667,0.7965277776238542,0.8377968749312501,0.55
TD-SV6,Static judge,1.46559,0.41,0.7919444443375,0.7690277776651042,0.8148611109640624,0.55
TD-SV6,Static tools,1.4965449999999998,0.41,0.7835416666666667,0.7606250001375,0.8064774306407292,0.55
TD-SV6,Prompt optimization,1.5274999999999999,0.41,0.7965277773958335,0.7728472218685417,0.8194635413229168,0.55
TD-SV6,Program search,1.558455,0.41,0.7949999999083334,0.7751388889499999,0.8148611108678125,0.55
TD-SV6,ERA,1.5894099999999998,0.41,0.8023022599491525,0.7820850991384534,0.8225000001409958,0.55
TD-IG1,Static judge,1.7905899999999997,0.41,0.8064583331041667,0.7835225689502083,0.8278472217390626,0.55
TD-IG1,Static tools,1.8215449999999995,0.41,0.7966946777016807,0.7766666666050421,0.8159523805695379,0.55
TD-IG1,Prompt optimization,1.8524999999999996,0.41,0.8108474575338984,0.7852118643112288,0.8341719632725636,0.55
TD-IG1,Program search,1.8834549999999997,0.41,0.8079861110500001,0.7903975693592709,0.8255555553416667,0.55
TD-IG1,ERA,1.9144099999999995,0.41,0.8321288512016807,0.8113305319190127,0.8506162462567227,0.55
TD-IG2,Static judge,1.9955899999999998,0.41,0.7766666668041666,0.7552586805467707,0.7988194444303126,0.55
TD-IG2,Static tools,2.0265449999999996,0.41,0.8028571427184874,0.783580181745063,0.8213445376302522,0.55
TD-IG2,Prompt optimization,2.0574999999999997,0.41,0.801316526302521,0.7789775906512606,0.8228851535851891,0.55
TD-IG2,Program search,2.0884549999999997,0.41,0.8140972221,0.79268923576125,0.8347222220541667,0.55
TD-IG2,ERA,2.11941,0.41,0.7667361111416666,0.7445833335556251,0.7888888890004166,0.55
TD-IG3,Static judge,2.200589999999999,0.41,0.7988194441083333,0.7743749999472916,0.8209722215076042,0.55
TD-IG3,Static tools,2.2315449999999992,0.41,0.8026388887208333,0.7797222221435416,0.822499999635625,0.55
TD-IG3,Prompt optimization,2.2624999999999993,0.41,0.8102777774416667,0.7904166664375001,0.8278472218719792,0.55
TD-IG3,Program search,2.2934549999999994,0.41,0.8131779662415254,0.7952913136746822,0.8325988699834745,0.55
TD-IG3,ERA,2.3244099999999994,0.41,0.8446527771208334,0.8247916660250001,0.8629861105022917,0.55
TD-IG4,Static judge,2.4055899999999992,0.41,0.8179166662999999,0.794236110775,0.8393055551594791,0.55
TD-IG4,Static tools,2.4365449999999993,0.41,0.8171527775791667,0.7995833333757292,0.8339583330583333,0.55
TD-IG4,Prompt optimization,2.4674999999999994,0.41,0.8197578344914531,0.7993874641355769,0.8385612532008548,0.55
TD-IG4,Program search,2.4984549999999994,0.41,0.8144117645210084,0.7936134454243697,0.834439775619958,0.55
TD-IG4,ERA,2.5294099999999995,0.41,0.8344397755714286,0.815162814867227,0.8529464283622898,0.55
TD-IG5,Static judge,2.6105899999999993,0.41,0.7781944442,0.7552777777120834,0.8034027774439585,0.55
TD-IG5,Static tools,2.6415449999999994,0.41,0.7805182072058823,0.7573897057205883,0.802857142764706,0.55
TD-IG5,Prompt optimization,2.6724999999999994,0.41,0.7905322128235295,0.7705042019082984,0.810560223832353,0.55
TD-IG5,Program search,2.7034549999999995,0.41,0.7966946776554622,0.7758963586015757,0.8174929967994748,0.55
TD-IG5,ERA,2.7344099999999996,0.41,0.7942361109125,0.7720833332863541,0.8156249997261459,0.55
TD-IG6,Static judge,2.8155899999999994,0.41,0.7858333332874999,0.7621527780340625,0.8072222221469791,0.55
TD-IG6,Static tools,2.8465449999999994,0.41,0.7898728812627118,0.7657715392629239,0.8092937850489408,0.55
TD-IG6,Prompt optimization,2.8774999999999995,0.41,0.7820588235294119,0.7604901961982142,0.8051680670015756,0.55
TD-IG6,Program search,2.9084549999999996,0.41,0.8095138888125,0.7873611111852084,0.8293749999083333,0.55
TD-IG6,ERA,2.9394099999999996,0.41,0.8171527773958334,0.7972916665245833,0.8370138884,0.55
TD-TG1,Static judge,3.140589999999999,0.41,0.8148611108819445,0.7963845485509549,0.8314120369479167,0.55
TD-TG1,Static tools,3.171544999999999,0.41,0.8231455396478873,0.8057159622973591,0.8406073940272887,0.55
TD-TG1,Prompt optimization,3.2024999999999992,0.41,0.8283098588838029,0.806990903527993,0.8470466546787851,0.55
TD-TG1,Program search,3.2334549999999993,0.41,0.8356410251153846,0.8183173070971155,0.8529647430605769,0.55
TD-TG1,ERA,3.2644099999999994,0.41,0.8202564101538461,0.8023076923057693,0.8401282050798078,0.55
TD-TG2,Static judge,3.345589999999999,0.41,0.7817948715,0.7619230766509615,0.8023076920028847,0.55
TD-TG2,Static tools,3.3765449999999992,0.41,0.8014930554409723,0.7836689815804687,0.8199537036145833,0.55
TD-TG2,Prompt optimization,3.4074999999999993,0.41,0.783076922923077,0.7606410255721154,0.8010416666375,0.55
TD-TG2,Program search,3.4384549999999994,0.41,0.7851182030886525,0.7616976947770391,0.8065721037988476,0.55
TD-TG2,ERA,3.4694099999999994,0.41,0.7798495368333334,0.7607364001921006,0.7995992475260416,0.55
TD-TG3,Static judge,3.550589999999999,0.41,0.8102347415387324,0.79345070383706,0.8250982979367958,0.55
TD-TG3,Static tools,3.581544999999999,0.41,0.8212268516736112,0.8027662036470486,0.8396874998500867,0.55
TD-TG3,Prompt optimization,3.612499999999999,0.41,0.8046759257604166,0.7862152775858506,0.8231524883940973,0.55
TD-TG3,Program search,3.643454999999999,0.41,0.8250462959270835,0.8059490737421007,0.8415972218030382,0.55
TD-TG3,ERA,3.674409999999999,0.41,0.8148611109965278,0.7964004629375,0.8333376735891493,0.55
